599.14,393.48,322.86,134.3,62.18,197.44,408.16,1140.6,1143.4,424.19,308.81,597.8,760.43,650.97,597.83,724.23,610.32,774.39,1335.8,1650,1692.8,998.73,725.83,453.49,536.53,950.99,656.13,1170.2,1459.4,848.59,250.85,283.06,325.16,188.02,412.26,347.16,500.17,674.6,498.48,295.46,285.54,393.2,650.96,723.2,691.64,1634.8,2116.9,975.5,680.46,660.46,1075.9,758.02,544.15,269.16,453.23,1158.3,600.6,649.75,1279.4,1258.8,758.59,582.67
990.48,421.86,523.17,466.86,1007.2,1374.2,1628.7,1332.9,746.68,685.51,932.22,1693.4,1362.3,693.79,618.73,1218.4,1495.3,1045.3,1066.7,1602.2,972.86,895.4,1437.8,1241.1,1044.7,750.48,741.64,604.84,1056.2,1085.7,1185.2,1445.5,2083.9,2059,1270.3,1199.1,823.92,699.53,728.31,920.8,958.08,743.06,708.95,762.11,1007.4,1116,1062.3,640.53,527.07,396.9,206.56,315.52,252.09,301.96,249.8,257.75,104.55,209.86,567.52,432.47,231.62,331.55
601.66,182.36,160.56,491.15,658.89,743.33,1395.8,1586,1184.1,1420.8,1889.2,2141.3,1584.6,1286.7,1305.4,1153.2,1133.8,1528.2,1380.7,1369.4,1315.6,942.9,1059.8,1264.1,1515.9,1555.3,2168.7,2102.5,1833.2,1371.5,942.22,1188.2,1414.4,953.61,1489.3,1974.8,1232.8,680.89,740.82,1128.3,1037.1,987.19,1402.6,1096.9,859.94,260.59,163.55,107.22,65.258,98.163,28.019,38.412,101,146.96,125.06,113.71,230.03,276.37,960.7,796.73,1627.8,1560.8
1318.3,1110,1052.6,617.73,263.8,279.94,611.16,635.5,473.62,264.67,228.88,144.58,536.24,299.24,402.36,404.13,541.13,523.07,890.03,506.64,439.99,448.95,290.66,317.46,895.4,2529.8,1907.7,704.33,609.12,759.23,1479,932.75,1350.7,1054,925.53,957.56,1413.2,2123,1485.9,982.42,788.87,917.34,1042.7,845.87,908,680.85,1545.3,1115.1,1423.9,536.56,271.57,888.19,953.64,968.94,214.49,171.22,122.32,109.86,7.4712,20.139,166.02,336.76
44.475,43.765,178.5,520.26,900.38,1596.2,946.86,431.99,128.53,61.96,62.071,79.259,105.28,169.47,283.4,649.82,1159.2,949.65,865.65,709.06,1395.8,1221.7,1373.6,1833.6,1819.4,1520.4,1332.6,2077.3,2196.8,1533.1,957.24,615.82,504.33,1811.5,2073,672.76,319.52,324.18,467.89,625.39,711.71,733.65,548.76,420.28,929.25,876.59,801.27,379.17,647.5,636.29,377.48,542.21,979.61,384.32,560.52,1409.2,969.38,192.99,127.58,109.04,93.994,501.04
706.67,859.32,1288.1,1724.1,1787.1,1516.1,1478.3,990.25,902.22,1040.1,1208.3,838.31,992.71,1753.7,991.65,384.61,459.6,1093.8,1330,678.26,444.18,1066.7,879.74,807.68,505.42,756.48,1026.1,1042.2,821.39,717.59,935.13,693.5,889.41,2078.5,2976.5,2821.2,1242.8,394.07,856.14,1139.5,1564.8,1029.9,985.71,696.64,1524.9,1831.6,1647.5,1727.4,2277.3,1026.5,1149.2,842.83,867.32,1274.7,948.8,435.75,332.52,382.17,540.87,545.82,474.76,611.78
728.16,1228,949.57,916.61,1231.6,1371.2,957.56,667.44,861.96,975.72,1948.8,1470.1,921.78,1141.6,2280.8,1339.8,857.67,344.49,623.88,499.42,694.84,543.24,916.25,618.37,398.99,440.44,529.66,754.11,736.72,664.56,438.47,845.06,1646.5,745.28,205.25,373.33,577.44,906.05,1096.4,2126.4,1851.5,1413.2,1822.8,771.32,567.78,944.98,778.66,331.04,469.79,725.74,616.43,605.44,167.23,119.99,19.078,47.574,3.2181,71.634,70.576,249.58,673.97,1039
745.13,573.89,398.24,971.97,719.76,702.35,714.22,646.24,565.54,432.1,971.06,579.62,461.28,682.12,995.94,775.84,999.83,842.89,1048.5,685.77,648.45,841.71,346.18,318.87,238,184.59,337.77,1013.8,359.62,665.96,555.29,666.98,964.75,661.18,805.8,1063.5,1646.9,1397.7,1596,1560.5,1568.9,1223.9,976.46,751.29,684.3,1325.7,1335.1,1716.2,1305.1,774.21,1088,865.95,640.49,953.67,1797,1000.6,639.52,651.14,1053.6,1189.3,1988.1,2062.9
648.55,1379.1,2040.3,2033.7,1708.4,1280.8,1304.9,1045.9,1415.8,1121.7,1015.1,1670.9,2250.4,1564.7,893.54,661.33,663.59,728.52,260.07,746.71,730.27,631.93,1196.9,879.75,259.41,655.96,603.82,693.5,501.81,357.95,685.35,1095.9,1393.6,1458,1949.3,1847.8,611.95,692.75,1335.7,1147.5,692.08,448.4,284.44,507.65,566.86,518.36,705.96,780.51,356.3,423.25,647.61,430.99,210.64,204.25,147.2,136.39,59.734,132.85,141.47,176.34,179.16,580.18
292.75,648.75,971.87,917.48,674.6,411.07,425.68,864.24,1038.5,1460.8,1028.9,1119.2,2186.2,1522.6,718.12,432.29,1035.9,1248.1,1561.8,1066.8,1284.6,1885.1,1185.1,813.88,1063.8,835.4,457.68,199.31,508.53,612.15,518.91,588.15,769.63,478.98,515.09,408.88,899.8,989.31,962.3,967.15,762.43,637.47,1403.4,1710.6,945.96,698.86,515.73,573.63,1113.7,1236.9,1478.6,1021.9,983.73,2352.4,1438.1,499.83,519.79,1596.7,944.16,960.68,1135.5,885.67
